,X_train,y_train
0,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.0.jpg,cat
1,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1.jpg,cat
2,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10.jpg,cat
3,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.100.jpg,cat
4,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1000.jpg,cat
5,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10000.jpg,cat
6,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10001.jpg,cat
7,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10002.jpg,cat
8,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10003.jpg,cat
9,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10004.jpg,cat
10,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10005.jpg,cat
11,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10006.jpg,cat
12,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10007.jpg,cat
13,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10008.jpg,cat
14,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10009.jpg,cat
15,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.1001.jpg,cat
16,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10010.jpg,cat
17,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10011.jpg,cat
18,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10012.jpg,cat
19,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10013.jpg,cat
20,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10014.jpg,cat
21,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10015.jpg,cat
22,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10016.jpg,cat
23,E:/MachineLearning/Datasets/dogs-vs-cats/train\cat.10017.jpg,cat
